STEMMING,tokenized_sents,polarity_score,polarity
edukasi cegah keras seksual ajar smpn 2 desa batu belah bphn https t co xylwrwdjev,"['edukasi', 'cegah', 'keras', 'seksual', 'ajar', 'smpn', '2', 'desa', 'batu', 'belah', 'bphn', 'https', 't', 'co', 'xylwrwdjev']",-7,-1
convomfs inner child mh nkehilangan orangtua keluarga nkekerasan fisik emosional seksual ndiabaikan keluarga orang dekat nperundungan bullying nkalo seperti beli barang2 yang belum sempet beli treat like anak sma partner kamu mh,"['convomfs', 'inner', 'child', 'mh', 'nkehilangan', 'orangtua', 'keluarga', 'nkekerasan', 'fisik', 'emosional', 'seksual', 'ndiabaikan', 'keluarga', 'orang', 'dekat', 'nperundungan', 'bullying', 'nkalo', 'seperti', 'beli', 'barang2', 'yang', 'belum', 'sempet', 'beli', 'treat', 'like', 'anak', 'sma', 'partner', 'kamu', 'mh']",-9,-1
tidur bareng bos gunung es keras seksual hantu karyawati nhttps t co ylya7crymw,"['tidur', 'bareng', 'bos', 'gunung', 'es', 'keras', 'seksual', 'hantu', 'karyawati', 'nhttps', 't', 'co', 'ylya7crymw']",2,1
kapolda ntt 12 keras seksual manggarai timur n n https t co 1xspineoah https t co awwlwhmwwk,"['kapolda', 'ntt', '12', 'keras', 'seksual', 'manggarai', 'timur', 'n', 'n', 'https', 't', 'co', '1xspineoah', 'https', 't', 'co', 'awwlwhmwwk']",0,1
perintah kabupaten bekas terbit surat edar cegah tangan keras seksual kerja perempuan kerja atur tera surat edar nomor tk 04 04 38 disnaker n nhttps t co ya5ys3crmn,"['perintah', 'kabupaten', 'bekas', 'terbit', 'surat', 'edar', 'cegah', 'tangan', 'keras', 'seksual', 'kerja', 'perempuan', 'kerja', 'atur', 'tera', 'surat', 'edar', 'nomor', 'tk', '04', '04', '38', 'disnaker', 'n', 'nhttps', 't', 'co', 'ya5ys3crmn']",6,1
kasih masuk jugaaa lindung kelompok minoritas lupa lindung kamu teman2 sandang disabilitas amp isu keras seksual tarik keras bas gender tidak ks fisik ekonomi psikis dan lain https t co kdsfn8uinf,"['kasih', 'masuk', 'jugaaa', 'lindung', 'kelompok', 'minoritas', 'lupa', 'lindung', 'kamu', 'teman2', 'sandang', 'disabilitas', 'amp', 'isu', 'keras', 'seksual', 'tarik', 'keras', 'bas', 'gender', 'tidak', 'ks', 'fisik', 'ekonomi', 'psikis', 'dan', 'lain', 'https', 't', 'co', 'kdsfn8uinf']",-6,-1
cewek 18 keras seksual rape trauma perkosa sexual violence,"['cewek', '18', 'keras', 'seksual', 'rape', 'trauma', 'perkosa', 'sexual', 'violence']",-1,-1
protes student laki misoginy psy tidak serang soyoon serang dukung korban keras seksual orang difable temenan drug user temenan saja serang psy pakai tidak serang,"['protes', 'student', 'laki', 'misoginy', 'psy', 'tidak', 'serang', 'soyoon', 'serang', 'dukung', 'korban', 'keras', 'seksual', 'orang', 'difable', 'temenan', 'drug', 'user', 'temenan', 'saja', 'serang', 'psy', 'pakai', 'tidak', 'serang']",-36,-1
habis ngecek bijakmemilihid isu concern ketenagakerjaan kasih masuk isu cipta lapang kerja batas bahas uuck isu industrialisasinya jarang isu bahas politis,"['habis', 'ngecek', 'bijakmemilihid', 'isu', 'concern', 'ketenagakerjaan', 'kasih', 'masuk', 'isu', 'cipta', 'lapang', 'kerja', 'batas', 'bahas', 'uuck', 'isu', 'industrialisasinya', 'jarang', 'isu', 'bahas', 'politis']",1,1
perintah kabupaten bekas terbit surat edar nomor tk 04 04 38 disnaker cegah tangan keras seksual kerja perempuan kerja n n sindonews news https t co vgv2qrkl04,"['perintah', 'kabupaten', 'bekas', 'terbit', 'surat', 'edar', 'nomor', 'tk', '04', '04', '38', 'disnaker', 'cegah', 'tangan', 'keras', 'seksual', 'kerja', 'perempuan', 'kerja', 'n', 'n', 'sindonews', 'news', 'https', 't', 'co', 'vgv2qrkl04']",4,1
pemkab bekas terbit edar cegah keras seksual usaha https t co yqn8ncmv94 https t co dempyy9apw,"['pemkab', 'bekas', 'terbit', 'edar', 'cegah', 'keras', 'seksual', 'usaha', 'https', 't', 'co', 'yqn8ncmv94', 'https', 't', 'co', 'dempyy9apw']",0,1
the student council of sungkyunkwan university is under attack over the university festival invitation of indie band so neon other artists include yb yoon dohyun band psy and itzy after the announcement there were postings to the university s online community forum,"['the', 'student', 'council', 'of', 'sungkyunkwan', 'university', 'is', 'under', 'attack', 'over', 'the', 'university', 'festival', 'invitation', 'of', 'indie', 'band', 'so', 'neon', 'other', 'artists', 'include', 'yb', 'yoon', 'dohyun', 'band', 'psy', 'and', 'itzy', 'after', 'the', 'announcement', 'there', 'were', 'postings', 'to', 'the', 'university', 's', 'online', 'community', 'forum']",-1,-1
kolmiares moviemenfes keras seksual lesbian homo makan tahi endingnya yang dikulitin kelamin tusuk mata,"['kolmiares', 'moviemenfes', 'keras', 'seksual', 'lesbian', 'homo', 'makan', 'tahi', 'endingnya', 'yang', 'dikulitin', 'kelamin', 'tusuk', 'mata']",-19,-1
polrestro jakut tangkap buron keras seksual pademangan https t co phciddhah7,"['polrestro', 'jakut', 'tangkap', 'buron', 'keras', 'seksual', 'pademangan', 'https', 't', 'co', 'phciddhah7']",-3,-1
pemkab bekas terbit surat edar cegah keras seksual kerja perempuan nhttps t co mrcehpvvvk,"['pemkab', 'bekas', 'terbit', 'surat', 'edar', 'cegah', 'keras', 'seksual', 'kerja', 'perempuan', 'nhttps', 't', 'co', 'mrcehpvvvk']",3,1
wahyuno79575772 txtdarisisange cowok tahan yak cewek nya tahan cowok paksa keras seksual laku ya fair2,"['wahyuno79575772', 'txtdarisisange', 'cowok', 'tahan', 'yak', 'cewek', 'nya', 'tahan', 'cowok', 'paksa', 'keras', 'seksual', 'laku', 'ya', 'fair2']",-6,-1
tahu n nada buku judul perawan remaja cengkeram militer isi perempuan usia bas janji jepang didik negeri kapal laut n nfaktanya kapal perempuan perempuan perkosa tentara jepang https t co spjdiuxeri,"['tahu', 'n', 'nada', 'buku', 'judul', 'perawan', 'remaja', 'cengkeram', 'militer', 'isi', 'perempuan', 'usia', 'bas', 'janji', 'jepang', 'didik', 'negeri', 'kapal', 'laut', 'n', 'nfaktanya', 'kapal', 'perempuan', 'perempuan', 'perkosa', 'tentara', 'jepang', 'https', 't', 'co', 'spjdiuxeri']",-11,-1
kisahdunia com parah sembung undang undang keras seksual nama suka anak umbar hawa nafsu nbahkan suami penjara perempuan baca istri,"['kisahdunia', 'com', 'parah', 'sembung', 'undang', 'undang', 'keras', 'seksual', 'nama', 'suka', 'anak', 'umbar', 'hawa', 'nafsu', 'nbahkan', 'suami', 'penjara', 'perempuan', 'baca', 'istri']",-8,-1
guna trigger warning sbb n ntw rape keras seksual perkosa,"['guna', 'trigger', 'warning', 'sbb', 'n', 'ntw', 'rape', 'keras', 'seksual', 'perkosa']",1,1
cinnamongirlc fakta perempuan perkosa siksa tentara jepang jalan kapal buku gambar kejam alami perempuan dampak traumatis alami korban keras seksual leceh,"['cinnamongirlc', 'fakta', 'perempuan', 'perkosa', 'siksa', 'tentara', 'jepang', 'jalan', 'kapal', 'buku', 'gambar', 'kejam', 'alami', 'perempuan', 'dampak', 'traumatis', 'alami', 'korban', 'keras', 'seksual', 'leceh']",-38,-1
bos usaha cikarang jawa barat syarat staycation kontrak kerja panjang pecat https t co nixbeo0lpd,"['bos', 'usaha', 'cikarang', 'jawa', 'barat', 'syarat', 'staycation', 'kontrak', 'kerja', 'panjang', 'pecat', 'https', 't', 'co', 'nixbeo0lpd']",-3,-1
manokwari sorong darurat keras seksual anak https t co yvw83ucsds,"['manokwari', 'sorong', 'darurat', 'keras', 'seksual', 'anak', 'https', 't', 'co', 'yvw83ucsds']",-3,-1
talkshow letss talk politik keras seksual kenang mei 1998 keras seksual massal https t co wij0byogxd,"['talkshow', 'letss', 'talk', 'politik', 'keras', 'seksual', 'kenang', 'mei', '1998', 'keras', 'seksual', 'massal', 'https', 't', 'co', 'wij0byogxd']",0,1
there s a lot of things yang saya sesak baca kandung keras seksual impi harap wanita yang janji ajar tempuh didik,"['there', 's', 'a', 'lot', 'of', 'things', 'yang', 'saya', 'sesak', 'baca', 'kandung', 'keras', 'seksual', 'impi', 'harap', 'wanita', 'yang', 'janji', 'ajar', 'tempuh', 'didik']",-21,-1
keras jahat seksual peta home https t co kohdpbpiqz,"['keras', 'jahat', 'seksual', 'peta', 'home', 'https', 't', 'co', 'kohdpbpiqz']",-4,-1
komnas perempuan calon legislatif bersih keras seksual komnasperempuan kekerasanseksual bakalcalonlegislatif pkpu https t co hnggws9ohp,"['komnas', 'perempuan', 'calon', 'legislatif', 'bersih', 'keras', 'seksual', 'komnasperempuan', 'kekerasanseksual', 'bakalcalonlegislatif', 'pkpu', 'https', 't', 'co', 'hnggws9ohp']",0,1
gais akun biji keramat sudah datangin akun sn jepang tolong bareng bareng report ya biar cepat proses sama jenis lapor orang twitter begitu leceh intimidasi keras begitu leceh orang seksual,"['gais', 'akun', 'biji', 'keramat', 'sudah', 'datangin', 'akun', 'sn', 'jepang', 'tolong', 'bareng', 'bareng', 'report', 'ya', 'biar', 'cepat', 'proses', 'sama', 'jenis', 'lapor', 'orang', 'twitter', 'begitu', 'leceh', 'intimidasi', 'keras', 'begitu', 'leceh', 'orang', 'seksual']",-13,-1
ingat mas2 yang tuduh laku keras seksual terus phk nserem sangat si orang viral pansos ngancurin hidup orang sampai mutus rejeki orang lho rugi who knows tanggung mas nanggung hidup ibu kah anak 3 kecil2 kah,"['ingat', 'mas2', 'yang', 'tuduh', 'laku', 'keras', 'seksual', 'terus', 'phk', 'nserem', 'sangat', 'si', 'orang', 'viral', 'pansos', 'ngancurin', 'hidup', 'orang', 'sampai', 'mutus', 'rejeki', 'orang', 'lho', 'rugi', 'who', 'knows', 'tanggung', 'mas', 'nanggung', 'hidup', 'ibu', 'kah', 'anak', '3', 'kecil2', 'kah']",-17,-1
keras seksual perempuan disabilitas n nhttps t co 34vnqkrbzj,"['keras', 'seksual', 'perempuan', 'disabilitas', 'n', 'nhttps', 't', 'co', '34vnqkrbzj']",0,1
komnas perempuan serta milu bersih keras seksual https t co 09wvdvqcak,"['komnas', 'perempuan', 'serta', 'milu', 'bersih', 'keras', 'seksual', 'https', 't', 'co', '09wvdvqcak']",2,1
sempurna sempurna nhttps t co x049mwmb6b,"['sempurna', 'sempurna', 'nhttps', 't', 'co', 'x049mwmb6b']",0,1
komnas perempuan serta milu bersih keras seksual https t co mrhqm3grit,"['komnas', 'perempuan', 'serta', 'milu', 'bersih', 'keras', 'seksual', 'https', 't', 'co', 'mrhqm3grit']",2,1
film hotline 1998 2022 bungkam 2021 langit gemuruh 2015 bab bab keras rasial seksual mei 1998 https t co b1oe4alumr,"['film', 'hotline', '1998', '2022', 'bungkam', '2021', 'langit', 'gemuruh', '2015', 'bab', 'bab', 'keras', 'rasial', 'seksual', 'mei', '1998', 'https', 't', 'co', 'b1oe4alumr']",-14,-1
tapi pkk nasional garda depan entas stunting hapus keras seksual advokasi hak warga negara,"['tapi', 'pkk', 'nasional', 'garda', 'depan', 'entas', 'stunting', 'hapus', 'keras', 'seksual', 'advokasi', 'hak', 'warga', 'negara']",0,1
miris keras seksual duga timpa wanita inisial oke 22 warga kota baturaja jaga ibu n n okezone https t co zrynov495s,"['miris', 'keras', 'seksual', 'duga', 'timpa', 'wanita', 'inisial', 'oke', '22', 'warga', 'kota', 'baturaja', 'jaga', 'ibu', 'n', 'n', 'okezone', 'https', 't', 'co', 'zrynov495s']",-5,-1
komnas perempuan serta milu bersih keras seksual https t co sov0afkofi,"['komnas', 'perempuan', 'serta', 'milu', 'bersih', 'keras', 'seksual', 'https', 't', 'co', 'sov0afkofi']",2,1
anijng babi saya baca kesal sudah korban keras seksual menn,"['anijng', 'babi', 'saya', 'baca', 'kesal', 'sudah', 'korban', 'keras', 'seksual', 'menn']",-9,-1
gencar cegah keras seksual kampus https t co jbkvxstwyi radarjogja,"['gencar', 'cegah', 'keras', 'seksual', 'kampus', 'https', 't', 'co', 'jbkvxstwyi', 'radarjogja']",0,1
komnas perempuan calon anggota legislatif bersih keras seksual beritaindo https t co mrezwhz08w,"['komnas', 'perempuan', 'calon', 'anggota', 'legislatif', 'bersih', 'keras', 'seksual', 'beritaindo', 'https', 't', 'co', 'mrezwhz08w']",-3,-1
tangan keras seksual perempuan aceh nilai lemah https t co ydhvrtrizz https t co 7wkld0mutt,"['tangan', 'keras', 'seksual', 'perempuan', 'aceh', 'nilai', 'lemah', 'https', 't', 'co', 'ydhvrtrizz', 'https', 't', 'co', '7wkld0mutt']",7,1
keras jahat seksual peta home https t co 3tbvjf8r9i,"['keras', 'jahat', 'seksual', 'peta', 'home', 'https', 't', 'co', '3tbvjf8r9i']",-4,-1
komnas perempuan serta milu bersih keras seksual https t co 6v0swtyn9g,"['komnas', 'perempuan', 'serta', 'milu', 'bersih', 'keras', 'seksual', 'https', 't', 'co', '6v0swtyn9g']",2,1
komnas perempuan calon anggota legislatif bersih keras seksual https t co 0sqye39a8m,"['komnas', 'perempuan', 'calon', 'anggota', 'legislatif', 'bersih', 'keras', 'seksual', 'https', 't', 'co', '0sqye39a8m']",-3,-1
komnas perempuan calon anggota legislatif bersih keras seksual https t co ixzgs8zcjj asid beritaseindonesia https t co 792tphqsw6,"['komnas', 'perempuan', 'calon', 'anggota', 'legislatif', 'bersih', 'keras', 'seksual', 'https', 't', 'co', 'ixzgs8zcjj', 'asid', 'beritaseindonesia', 'https', 't', 'co', '792tphqsw6']",-8,-1
komnas perempuan calon anggota legislatif bersih keras seksual https t co sz0pbretcb https t co vrdz7lpve0,"['komnas', 'perempuan', 'calon', 'anggota', 'legislatif', 'bersih', 'keras', 'seksual', 'https', 't', 'co', 'sz0pbretcb', 'https', 't', 'co', 'vrdz7lpve0']",-3,-1
gantung sih jenis trauma nya koyok gimana pikir orang ne sudah fisik sih beda koyok keras leceh seksual saya no komen,"['gantung', 'sih', 'jenis', 'trauma', 'nya', 'koyok', 'gimana', 'pikir', 'orang', 'ne', 'sudah', 'fisik', 'sih', 'beda', 'koyok', 'keras', 'leceh', 'seksual', 'saya', 'no', 'komen']",-14,-1
geitzeist hlo memang benar kalau korupsi keras seksual keras in general intoleransi agama cuek2 saja kalau sudah topik 2 lak heboh sekali,"['geitzeist', 'hlo', 'memang', 'benar', 'kalau', 'korupsi', 'keras', 'seksual', 'keras', 'in', 'general', 'intoleransi', 'agama', 'cuek2', 'saja', 'kalau', 'sudah', 'topik', '2', 'lak', 'heboh', 'sekali']",-14,-1
standar saya bias saya tidak pakai narkotika tidak ngelakuin leceh seksual tidak ngelakuin keras masa sudah saja bias saya ngelakuin sadar ngaku salah dahh end cari yang gampang ko,"['standar', 'saya', 'bias', 'saya', 'tidak', 'pakai', 'narkotika', 'tidak', 'ngelakuin', 'leceh', 'seksual', 'tidak', 'ngelakuin', 'keras', 'masa', 'sudah', 'saja', 'bias', 'saya', 'ngelakuin', 'sadar', 'ngaku', 'salah', 'dahh', 'end', 'cari', 'yang', 'gampang', 'ko']",-55,-1
libat henti cegah keras seksual nharus diri sisi korban dukung butuh https t co mmcgpwxkdx,"['libat', 'henti', 'cegah', 'keras', 'seksual', 'nharus', 'diri', 'sisi', 'korban', 'dukung', 'butuh', 'https', 't', 'co', 'mmcgpwxkdx']",-10,-1
komnas perempuan calon anggota legislatif bersih keras seksual https t co sxc1trftnt https t co npnnhfodgc,"['komnas', 'perempuan', 'calon', 'anggota', 'legislatif', 'bersih', 'keras', 'seksual', 'https', 't', 'co', 'sxc1trftnt', 'https', 't', 'co', 'npnnhfodgc']",-3,-1
riverheaven untuk picek korban cabul keras seksual peluang masuk sirkel lgbt,"['riverheaven', 'untuk', 'picek', 'korban', 'cabul', 'keras', 'seksual', 'peluang', 'masuk', 'sirkel', 'lgbt']",-9,-1
rekomendasi polisi terap pasal pidana staycation langgar undang undang nomor 12 2022 tindak pidana keras seksual kerja ridwankamil nhttps t co lzr1oikhtj,"['rekomendasi', 'polisi', 'terap', 'pasal', 'pidana', 'staycation', 'langgar', 'undang', 'undang', 'nomor', '12', '2022', 'tindak', 'pidana', 'keras', 'seksual', 'kerja', 'ridwankamil', 'nhttps', 't', 'co', 'lzr1oikhtj']",0,1
lawan keras seksual uajy bentuk satgas khusus ppks beritajogja jogja jogjaistimewa https t co uzqir0elvq https t co laeedgjads,"['lawan', 'keras', 'seksual', 'uajy', 'bentuk', 'satgas', 'khusus', 'ppks', 'beritajogja', 'jogja', 'jogjaistimewa', 'https', 't', 'co', 'uzqir0elvq', 'https', 't', 'co', 'laeedgjads']",1,1
mitra gelar mas kertas kerja jamin lindung perempuan adat keras seksual kaji atur tiga undang simak lengkap tayang n nhttps t co ge6ckcirqe n n estungkara perempuanadat inklusisosial,"['mitra', 'gelar', 'mas', 'kertas', 'kerja', 'jamin', 'lindung', 'perempuan', 'adat', 'keras', 'seksual', 'kaji', 'atur', 'tiga', 'undang', 'simak', 'lengkap', 'tayang', 'n', 'nhttps', 't', 'co', 'ge6ckcirqe', 'n', 'n', 'estungkara', 'perempuanadat', 'inklusisosial']",5,1
komnas perempuan khawatir caleg riwayat laku keras seksual https t co nvya4ne2rv,"['komnas', 'perempuan', 'khawatir', 'caleg', 'riwayat', 'laku', 'keras', 'seksual', 'https', 't', 'co', 'nvya4ne2rv']",-4,-1
komisi nasional anti keras perempuan komnas perempuan calon legislatif bersih keras seksual anak perempuan n nhttps t co nnmmhkxcet,"['komisi', 'nasional', 'anti', 'keras', 'perempuan', 'komnas', 'perempuan', 'calon', 'legislatif', 'bersih', 'keras', 'seksual', 'anak', 'perempuan', 'n', 'nhttps', 't', 'co', 'nnmmhkxcet']",1,1
penyalahgunaan duduk manfaat janji kerja layan seksual bentuk eksploitasi seksual n npasal 12 undang undang uu nomor 12 2022 tindak pidana keras seksual tpks eksploitasi seksual bentuk,"['penyalahgunaan', 'duduk', 'manfaat', 'janji', 'kerja', 'layan', 'seksual', 'bentuk', 'eksploitasi', 'seksual', 'n', 'npasal', '12', 'undang', 'undang', 'uu', 'nomor', '12', '2022', 'tindak', 'pidana', 'keras', 'seksual', 'tpks', 'eksploitasi', 'seksual', 'bentuk']",17,1
direktorat ancang atur undang undang selenggara rapat bahas rancang atur perintah dana bantu korban tindak pidana keras seksual jumat 12 05 2023 n n ditjenppkemenkumham n kumhamsemakinpasti https t co agfctazq3z,"['direktorat', 'ancang', 'atur', 'undang', 'undang', 'selenggara', 'rapat', 'bahas', 'rancang', 'atur', 'perintah', 'dana', 'bantu', 'korban', 'tindak', 'pidana', 'keras', 'seksual', 'jumat', '12', '05', '2023', 'n', 'n', 'ditjenppkemenkumham', 'n', 'kumhamsemakinpasti', 'https', 't', 'co', 'agfctazq3z']",8,1
sweetal154 aniesbaswedan bentar panggil keras seksual anak anak bawah umur,"['sweetal154', 'aniesbaswedan', 'bentar', 'panggil', 'keras', 'seksual', 'anak', 'anak', 'bawah', 'umur']",1,1
milenial wonogiri daerah industri minim keras seksual https t co 5tgpzl4cz6,"['milenial', 'wonogiri', 'daerah', 'industri', 'minim', 'keras', 'seksual', 'https', 't', 'co', '5tgpzl4cz6']",-3,-1
posisi netral solusi atas keras seksual https t co obuibremix,"['posisi', 'netral', 'solusi', 'atas', 'keras', 'seksual', 'https', 't', 'co', 'obuibremix']",-1,-1
salah bagai manusia lupa naro kunci rumah mana keras seksual ya babi https t co pwvljowvem,"['salah', 'bagai', 'manusia', 'lupa', 'naro', 'kunci', 'rumah', 'mana', 'keras', 'seksual', 'ya', 'babi', 'https', 't', 'co', 'pwvljowvem']",-4,-1
ugm fess laporin satgas keras seksual kampus saja kalau memang resah sudah,"['ugm', 'fess', 'laporin', 'satgas', 'keras', 'seksual', 'kampus', 'saja', 'kalau', 'memang', 'resah', 'sudah']",-9,-1
kiai fm terdawa perkara cabul keras seksual santri jalan sidang lanjut adil negeri pn jember n n jember kiaicabul cabul kiai jembernews infojatim nhttps t co hemlg8dzho,"['kiai', 'fm', 'terdawa', 'perkara', 'cabul', 'keras', 'seksual', 'santri', 'jalan', 'sidang', 'lanjut', 'adil', 'negeri', 'pn', 'jember', 'n', 'n', 'jember', 'kiaicabul', 'cabul', 'kiai', 'jembernews', 'infojatim', 'nhttps', 't', 'co', 'hemlg8dzho']",-18,-1
kendati uu tpks terbit keras seksual turun cenderung tingkat paham masyarakat tpks korban keras seksual berani bicara nhttps t co ob8ktedyls,"['kendati', 'uu', 'tpks', 'terbit', 'keras', 'seksual', 'turun', 'cenderung', 'tingkat', 'paham', 'masyarakat', 'tpks', 'korban', 'keras', 'seksual', 'berani', 'bicara', 'nhttps', 't', 'co', 'ob8ktedyls']",-10,-1
democrazymedia cocok calon suka film biru team sukses laku keras seksual anak bawah umur,"['democrazymedia', 'cocok', 'calon', 'suka', 'film', 'biru', 'team', 'sukses', 'laku', 'keras', 'seksual', 'anak', 'bawah', 'umur']",9,1
lokakarya selenggara untuk dalam paham tentang keras bas gender kbg amp manfaat layan perempuan minoritas gender amp seksual yang hidup dengan hiv risiko infeksi hiv serta juga diskus tentang kembang rencana strategis respons tanggulang hiv,"['lokakarya', 'selenggara', 'untuk', 'dalam', 'paham', 'tentang', 'keras', 'bas', 'gender', 'kbg', 'amp', 'manfaat', 'layan', 'perempuan', 'minoritas', 'gender', 'amp', 'seksual', 'yang', 'hidup', 'dengan', 'hiv', 'risiko', 'infeksi', 'hiv', 'serta', 'juga', 'diskus', 'tentang', 'kembang', 'rencana', 'strategis', 'respons', 'tanggulang', 'hiv']",7,1
keras seksual timpa saja internet njadi coba kontrol jempol https t co w6poqvvqdp,"['keras', 'seksual', 'timpa', 'saja', 'internet', 'njadi', 'coba', 'kontrol', 'jempol', 'https', 't', 'co', 'w6poqvvqdp']",-1,-1
manusia salah ya manusia maaf lucas ayo coba respect berprikemanusiaan tidak apa kalau kamu memang benci lucas keep saja naikin hastag tidak yang ujar kbncian,"['manusia', 'salah', 'ya', 'manusia', 'maaf', 'lucas', 'ayo', 'coba', 'respect', 'berprikemanusiaan', 'tidak', 'apa', 'kalau', 'kamu', 'memang', 'benci', 'lucas', 'keep', 'saja', 'naikin', 'hastag', 'tidak', 'yang', 'ujar', 'kbncian']",-18,-1
luvyrenxraa jellyrubyjane haechanahceeahh wulann nct menfess memang kamu ngelaporin keras seksual tuh gampang ya,"['luvyrenxraa', 'jellyrubyjane', 'haechanahceeahh', 'wulann', 'nct', 'menfess', 'memang', 'kamu', 'ngelaporin', 'keras', 'seksual', 'tuh', 'gampang', 'ya']",3,1
tuntut staycation inap hotel syarat panjang kontrak sebab buruh perempuan kena keras seksual peras kerja staycation buruhcikarang staycationkontrakkerja https t co gwyovgekia,"['tuntut', 'staycation', 'inap', 'hotel', 'syarat', 'panjang', 'kontrak', 'sebab', 'buruh', 'perempuan', 'kena', 'keras', 'seksual', 'peras', 'kerja', 'staycation', 'buruhcikarang', 'staycationkontrakkerja', 'https', 't', 'co', 'gwyovgekia']",0,1
i would never forgive sexual harassment perpetrators ingat prinsip keras seksual korban imagine the damage and burden pikul korban umur hidup,"['i', 'would', 'never', 'forgive', 'sexual', 'harassment', 'perpetrators', 'ingat', 'prinsip', 'keras', 'seksual', 'korban', 'imagine', 'the', 'damage', 'and', 'burden', 'pikul', 'korban', 'umur', 'hidup']",-11,-1
rekomendasi polisi terap pasal pidana staycation langgar undang undang nomor 12 2022 tindak pidana keras seksual kerja ridwankamil nhttps t co b6ss7vaad7,"['rekomendasi', 'polisi', 'terap', 'pasal', 'pidana', 'staycation', 'langgar', 'undang', 'undang', 'nomor', '12', '2022', 'tindak', 'pidana', 'keras', 'seksual', 'kerja', 'ridwankamil', 'nhttps', 't', 'co', 'b6ss7vaad7']",0,1
cegah keras seksual psikolog bahas underwear rule ajar kota sukabumi https t co dweyq6duxt asid beritaseindonesia https t co gcllr6sgyq,"['cegah', 'keras', 'seksual', 'psikolog', 'bahas', 'underwear', 'rule', 'ajar', 'kota', 'sukabumi', 'https', 't', 'co', 'dweyq6duxt', 'asid', 'beritaseindonesia', 'https', 't', 'co', 'gcllr6sgyq']",-6,-1
yang wenang tuntas staycation semua usaha tutup wilayah nkri yang lindung generasi muda keras seksual amp leceh oknum yang jabat nhttps t co atplqqa9qr,"['yang', 'wenang', 'tuntas', 'staycation', 'semua', 'usaha', 'tutup', 'wilayah', 'nkri', 'yang', 'lindung', 'generasi', 'muda', 'keras', 'seksual', 'amp', 'leceh', 'oknum', 'yang', 'jabat', 'nhttps', 't', 'co', 'atplqqa9qr']",-30,-1
rekomendasi polisi terap pasal pidana staycation langgar undang undang nomor 12 2022 tindak pidana keras seksual kerja ridwankamil nhttps t co 0tkytrllyo,"['rekomendasi', 'polisi', 'terap', 'pasal', 'pidana', 'staycation', 'langgar', 'undang', 'undang', 'nomor', '12', '2022', 'tindak', 'pidana', 'keras', 'seksual', 'kerja', 'ridwankamil', 'nhttps', 't', 'co', '0tkytrllyo']",0,1
jadi praktik leceh keras seksual tindas kaum perempuan diam imbuh putih sari,"['jadi', 'praktik', 'leceh', 'keras', 'seksual', 'tindas', 'kaum', 'perempuan', 'diam', 'imbuh', 'putih', 'sari']",-16,-1
seringkali keras seksual sukabumi seru cegah keras seksual sukabumi gaung nhttps t co zkvabqjb5l,"['seringkali', 'keras', 'seksual', 'sukabumi', 'seru', 'cegah', 'keras', 'seksual', 'sukabumi', 'gaung', 'nhttps', 't', 'co', 'zkvabqjb5l']",-3,-1
ruang aman laki laki libat upaya hapus keras seksual n nuu tpks kunci keras seksual berantas https t co gsweyph9zz,"['ruang', 'aman', 'laki', 'laki', 'libat', 'upaya', 'hapus', 'keras', 'seksual', 'n', 'nuu', 'tpks', 'kunci', 'keras', 'seksual', 'berantas', 'https', 't', 'co', 'gsweyph9zz']",-6,-1
rekomendasi polisi terap pasal pidana staycation langgar undang undang nomor 12 2022 tindak pidana keras seksual kerja ridwankamil nhttps t co ngkhzj2bba,"['rekomendasi', 'polisi', 'terap', 'pasal', 'pidana', 'staycation', 'langgar', 'undang', 'undang', 'nomor', '12', '2022', 'tindak', 'pidana', 'keras', 'seksual', 'kerja', 'ridwankamil', 'nhttps', 't', 'co', 'ngkhzj2bba']",0,1
tweeps hadir seminar pamer saji rujak pare rangka ingat 25 reformasi keras seksual musuh n ncatat tanggal nsabtu 27 mei 2023 pkl 07 30 11 35 wib ndi auditorium dian universitas ciputra n nlive youtube seh uc https t co vix2wtsyvn https t co cshzl0t8vn,"['tweeps', 'hadir', 'seminar', 'pamer', 'saji', 'rujak', 'pare', 'rangka', 'ingat', '25', 'reformasi', 'keras', 'seksual', 'musuh', 'n', 'ncatat', 'tanggal', 'nsabtu', '27', 'mei', '2023', 'pkl', '07', '30', '11', '35', 'wib', 'ndi', 'auditorium', 'dian', 'universitas', 'ciputra', 'n', 'nlive', 'youtube', 'seh', 'uc', 'https', 't', 'co', 'vix2wtsyvn', 'https', 't', 'co', 'cshzl0t8vn']",-9,-1
keras seksual anak disabilitas kpai desak ruu sinar harap https t co 8c67zid3gh,"['keras', 'seksual', 'anak', 'disabilitas', 'kpai', 'desak', 'ruu', 'sinar', 'harap', 'https', 't', 'co', '8c67zid3gh']",-3,-1
sisi temu risiko hadap tingkat keras seksual bas elektronik 181 2019 1697 2022 kerja bssn genting n nhttps t co zetjdkjqb6 https t co aaexz1mmdy,"['sisi', 'temu', 'risiko', 'hadap', 'tingkat', 'keras', 'seksual', 'bas', 'elektronik', '181', '2019', '1697', '2022', 'kerja', 'bssn', 'genting', 'n', 'nhttps', 't', 'co', 'zetjdkjqb6', 'https', 't', 'co', 'aaexz1mmdy']",0,1
